Dependency=division	Dependency=proto_bldg_type	Option=pre_1920	Option=1920_1945	Option=1946_1959	Option=1960_1969	Option=1970_1979	Option=1980_1989	Option=1990_1999	Option=2000_2003	Option=2004_2007	Option=2008_2012
7	highrise_apartment	0	0	0.573353025	0	0	0.060871051	0.156226423	0.156226423	0.04315064	0.010172438
7	outpatient	0.138965135	0.094314079	0	0.074193254	0.092537775	0.216816596	0.108180405	0.135099608	0	0.139893149
7	primary_school	0.007847305	0.026861883	0.121176798	0.092346945	0.077992867	0.202330609	0.32801374	0.071030177	0.014666406	0.05773327
7	quick_service_restaurant	0	0	0	0	0.115797887	0.231595774	0.297557955	0.231595774	0	0.123452609
7	retail	0.122256391	0.072038324	0.038194787	0.103218018	0.175744787	0.085377353	0.268168434	0.063462064	0.044133504	0.027406339
7	secondary_school	0.04534749	0.038669079	0.066826887	0.15312248	0.298372183	0	0.288147289	0.093858371	0	0.015656221
7	small_hotel	0	0	0.020421172	0.204793833	0.030727816	0.351979078	0.3920781	0	0	0
7	strip_mall	0	0.096729524	0	0.200492617	0.237760975	0.056901086	0.08425588	0.12118011	0.202679809	0
7	super_market	0	0.096729524	0	0.200492617	0.237760975	0.056901086	0.08425588	0.12118011	0.202679809	0
7	warehouse	0.007920112	0.022269603	0.078891602	0.034866682	0.166048022	0.238414619	0.142244065	0.080215896	0.104030397	0.125099001
7	small_office	0	0.076460191	0.068933615	0	0.086152767	0.386340494	0.124421795	0.018300505	0.160118729	0.079271904
7	medium_office	0	0.070000155	0.193766391	0.058762355	0.158458251	0.193130851	0.092821354	0.072741925	0.053962137	0.106356581
7	large_office	0	0.070000155	0.193766391	0.058762355	0.158458251	0.193130851	0.092821354	0.072741925	0.053962137	0.106356581
7	no_match	0.033796746	0.067887546	0.114143691	0.10275953	0.106006121	0.209963205	0.183467262	0.073417113	0.062505216	0.04605357
8	full_service_restaurant	0.094633037	0	0.213854915	0	0.319400341	0.156055708	0	0.04872697	0.116973124	0.050355905
8	hospital	0	0	0	0.01049958	0.321540729	0.076436237	0.110738648	0.332642881	0.080391201	0.067750723
8	large_hotel	0	0	0	0.173108366	0.017671762	0.01438283	0.216639674	0	0.172463489	0.405733879
8	midrise_apartment	0	0	0	0.092351314	0	0.127962544	0.687334829	0	0	0.092351314
8	highrise_apartment	0	0	0	0.092351314	0	0.127962544	0.687334829	0	0	0.092351314
8	outpatient	0	0.001371732	0.001201908	0	0.193562801	0.520145238	0.063861642	0.125024275	0	0.094832403
8	primary_school	0	0.035311704	0.074766565	0.231992023	0.058157386	0.421715359	0.065785145	0.01095472	0.101317097	0
8	quick_service_restaurant	0	0.156978405	0	0	0.156978405	0.176354928	0.333333333	0.176354928	0	0
8	retail	0.142903275	0.107528984	0	0.075605091	0.026457812	0.332561034	0.120981267	0.002214133	0.133685706	0.058062698
8	secondary_school	0	0	0.16398097	0.132593851	0.417507243	0.086387955	0.031232664	0.123107227	0.039743158	0.005446932
